algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean,weight_profile,weight_sample_idx
static_notch_mf,weight_profile,0.0,11.5103178024292,11.5103178024292,11.5103178024292,11.5103178024292,11.5103178024292,0.0,-0.9771013259887695,0.0,0.0,2.6490953430879927e-08,0.9166666865348816,10.773760732263327,66.7137680053711,0.08333331346511841,uniform,0
risk_neutral_pgd,weight_profile,0.0,15.828351020812988,15.828351020812988,15.828351020812988,15.828351020812988,15.828351020812988,1.0,5635.95703125,1408.9892578125,5635.95703125,0.0,1.0,144.7389959357679,66.7137680053711,0.08333331346511841,uniform,0
wideband_pgd,weight_profile,0.0,14.081127166748047,14.081127166748047,14.081127166748047,14.081127166748047,14.081127166748047,0.0,-0.9910343289375305,0.0,0.0,0.0,0.9166666865348816,147.0526340417564,66.7137680053711,0.08333331346511841,uniform,0
budgeted_primal_dual_pgd,weight_profile,0.0,19.63878631591797,19.63878631591797,19.63878631591797,19.63878631591797,19.63878631591797,0.0,-0.9842113852500916,0.0,0.0,0.0,0.9166666865348816,293.5106009244919,66.7137680053711,0.08333331346511841,uniform,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,15.54053020477295,15.54053020477295,15.54053020477295,15.54053020477295,15.54053020477295,0.0,-0.9920679330825806,0.0,0.0,0.0,0.9166666865348816,411.14746406674385,66.7137680053711,0.08333331346511841,uniform,0
budgeted_primal_dual_pgd_repair_recover,weight_profile,0.0,15.54053020477295,15.54053020477295,15.54053020477295,15.54053020477295,15.54053020477295,0.0,-0.9920679330825806,0.0,0.0,0.0,0.9166666865348816,582.4424647726119,66.7137680053711,0.08333331346511841,uniform,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,23.49223518371582,23.49223518371582,23.49223518371582,23.49223518371582,23.49223518371582,0.0,-0.9910314679145813,0.0,0.0,0.0,0.9166666865348816,338.00384076312184,66.7137680053711,0.08333331346511841,uniform,0
rate_recovered_primal_dual_unfolded,weight_profile,0.0,12.80919361114502,12.80919361114502,12.80919361114502,12.80919361114502,12.80919361114502,0.0,-0.9935603737831116,0.0,0.0,0.0,0.9166666865348816,624.7611092403531,66.7137680053711,0.08333331346511841,uniform,0
static_notch_mf,weight_profile,0.0,11.5103178024292,11.14416217803955,11.5103178024292,11.5103178024292,11.5103178024292,0.0,-0.9771013259887695,0.0,0.0,2.6490953430879927e-08,0.9166666865348816,10.58461470529437,66.7137680053711,0.08333331346511841,inverse_serving_gain,0
risk_neutral_pgd,weight_profile,0.0,16.159517288208008,15.858245849609375,16.159517288208008,16.159517288208008,16.159517288208008,1.0,3968.245849609375,992.0614624023438,3968.245849609375,0.0,1.0,146.79986890405416,66.7137680053711,0.08333331346511841,inverse_serving_gain,0
wideband_pgd,weight_profile,0.0,15.583643913269043,15.165043830871582,15.583643913269043,15.583643913269043,15.583643913269043,0.0,-0.9788346290588379,0.0,0.0,0.0,0.9166666865348816,146.46027144044638,66.7137680053711,0.08333331346511841,inverse_serving_gain,0
budgeted_primal_dual_pgd,weight_profile,0.0,18.669536590576172,17.322141647338867,18.669536590576172,18.669536590576172,18.669536590576172,0.0,-0.990075945854187,0.0,0.0,0.0,0.9166666865348816,297.2087007947266,66.7137680053711,0.08333331346511841,inverse_serving_gain,0
budgeted_primal_dual_pgd_repair,weight_profile,0.0,12.70150375366211,12.078694343566895,12.70150375366211,12.70150375366211,12.70150375366211,0.0,-0.9963012933731079,0.0,0.0,0.0,0.9166666865348816,415.1509990915656,66.7137680053711,0.08333331346511841,inverse_serving_gain,0
budgeted_primal_dual_pgd_repair_recover,weight_profile,0.0,12.70150375366211,12.078694343566895,12.70150375366211,12.70150375366211,12.70150375366211,0.0,-0.9963012933731079,0.0,0.0,0.0,0.9166666865348816,583.3044252358377,66.7137680053711,0.08333331346511841,inverse_serving_gain,0
budget_aware_primal_dual_unfolded,weight_profile,0.0,16.916017532348633,16.607606887817383,16.916017532348633,16.916017532348633,16.916017532348633,0.0,-0.9935250878334045,0.0,0.0,0.0,0.9166666865348816,338.75541388988495,66.7137680053711,0.08333331346511841,inverse_serving_gain,0
