algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
budgeted_primal_dual_pgd,4,-755077.3125,25659.8984375,301990.59375,0.0,3.2978267669677734,10.23205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd,5,-751978.5625,25559.9375,300734.65625,0.0,4.003523349761963,11.98205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd,6,-753461.4375,25626.017578125,301310.9375,0.0,4.711659908294678,13.73205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd,7,-753949.6875,25631.291015625,301488.4375,0.0,5.426242828369141,15.48205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd,8,-754385.0,25663.1484375,301647.125,0.0,6.134664058685303,17.232059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd,9,-754695.25,25667.306640625,301752.34375,0.0,6.849246978759766,18.982059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd,10,-754920.5625,25667.498046875,301825.53125,0.0,7.5638298988342285,20.732059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,1,-15526.0458984375,979.2517700195312,6210.7109375,2.2706531765948057e-08,1.2714554071426392,4.982058525085449,10.0,0.5857790112495422,0.019999999552965164,1.0,0.33152979612350464,-0.004999935626983643,,,,,,
budgeted_primal_dual_pgd_repair,2,-901985.5,30518.212890625,360782.90625,0.0,1.941085934638977,6.732058525085449,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,3,-722395.0625,24540.693359375,288933.3125,0.0,2.591304063796997,8.48205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,4,-755077.3125,25659.8984375,301990.59375,0.0,3.2978267669677734,10.23205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,5,-751978.5625,25559.9375,300734.65625,0.0,4.003523349761963,11.98205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,6,-753461.4375,25626.017578125,301310.9375,0.0,4.711659908294678,13.73205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,7,-753949.6875,25631.291015625,301488.4375,0.0,5.426242828369141,15.48205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,8,-754385.0,25663.1484375,301647.125,0.0,6.134664058685303,17.232059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,9,-754695.25,25667.306640625,301752.34375,0.0,6.849246978759766,18.982059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,10,-754920.5625,25667.498046875,301825.53125,0.0,7.5638298988342285,20.732059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,11,-906028.1875,25685.072265625,301875.5,0.0,10.651915550231934,28.232059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,12,-1131913.625,31461.365234375,377108.3125,0.0,13.776915550231934,35.732059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,13,-1108372.125,30777.888671875,369234.4375,0.0,16.441490173339844,41.316062927246094,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,14,-1347065.875,61969.1875,448701.65625,0.0,19.566492080688477,48.816062927246094,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,1,-15526.0458984375,979.2517700195312,6210.7109375,2.2706531765948057e-08,1.2714554071426392,4.982058525085449,10.0,0.5857790112495422,0.019999999552965164,1.0,0.33152979612350464,-0.004999935626983643,0.5833333134651184,0.0069580078125,0.00396728515625,0.0,1.0,-0.0014943182468414307
budgeted_primal_dual_pgd_repair_recover,2,-901985.5,30518.212890625,360782.90625,0.0,1.941085934638977,6.732058525085449,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,3,-722395.0625,24540.693359375,288933.3125,0.0,2.591304063796997,8.48205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,4,-755077.3125,25659.8984375,301990.59375,0.0,3.2978267669677734,10.23205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,5,-751978.5625,25559.9375,300734.65625,0.0,4.003523349761963,11.98205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,6,-753461.4375,25626.017578125,301310.9375,0.0,4.711659908294678,13.73205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,7,-753949.6875,25631.291015625,301488.4375,0.0,5.426242828369141,15.48205852508545,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,8,-754385.0,25663.1484375,301647.125,0.0,6.134664058685303,17.232059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,9,-754695.25,25667.306640625,301752.34375,0.0,6.849246978759766,18.982059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,10,-754920.5625,25667.498046875,301825.53125,0.0,7.5638298988342285,20.732059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,11,-906028.1875,25685.072265625,301875.5,0.0,10.651915550231934,28.232059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,12,-1131913.625,31461.365234375,377108.3125,0.0,13.776915550231934,35.732059478759766,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,13,-1108372.125,30777.888671875,369234.4375,0.0,16.441490173339844,41.316062927246094,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair_recover,14,-1347065.875,61969.1875,448701.65625,0.0,19.566492080688477,48.816062927246094,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,1,-33757.890625,979.2517700195312,6210.7109375,2.2706531765948057e-08,0.07034071534872055,0.49284258484840393,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,2,-1788.2320556640625,501.0128479003906,2056.996826171875,0.0,0.07843977957963943,0.48880335688591003,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,3,-9588662.0,72600.3359375,867901.3125,0.0,3.8340959548950195,17.632705688476562,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,4,-196.84085083007812,3550.946533203125,41408.67578125,0.0,4.381579875946045,20.33469581604004,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,5,-1382.800048828125,72.50737762451172,732.1986083984375,0.0,4.381877899169922,20.336097717285156,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,6,-497.79376220703125,26.993881225585938,250.51539611816406,0.0,8.138154983520508,39.37152862548828,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,7,-433.0673522949219,7.552344799041748,67.1131820678711,0.0,11.793726921081543,58.587303161621094,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,8,-298.96844482421875,0.5992890000343323,6.65627384185791,0.0,11.795153617858887,58.602012634277344,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,9,-657.702880859375,1.4783073663711548,11.888769149780273,0.0,11.838787078857422,58.865989685058594,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,10,-422.14837646484375,0.7031183242797852,6.012404441833496,0.0,11.838916778564453,58.86677932739258,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,1,-33757.890625,979.2517700195312,6210.7109375,2.2706531765948057e-08,0.07034071534872055,0.49284258484840393,10.0,0.7772166132926941,0.019999999552965164,1.0,0.013242106884717941,-0.0050001442432403564,0.5416666865348816,0.59332275390625,0.18670654296875,0.0,1.0,-0.0030750930309295654
rate_recovered_primal_dual_unfolded,2,-1788.2320556640625,501.0128479003906,2056.996826171875,0.0,0.07843977957963943,0.48880335688591003,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,3,-9588662.0,72600.3359375,867901.3125,0.0,3.8340959548950195,17.632705688476562,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,4,-196.84085083007812,3550.946533203125,41408.67578125,0.0,4.381579875946045,20.33469581604004,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,5,-1382.800048828125,72.50737762451172,732.1986083984375,0.0,4.381877899169922,20.336097717285156,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,6,-497.79376220703125,26.993881225585938,250.51539611816406,0.0,8.138154983520508,39.37152862548828,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,7,-433.0673522949219,7.552344799041748,67.1131820678711,0.0,11.793726921081543,58.587303161621094,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,8,-298.96844482421875,0.5992890000343323,6.65627384185791,0.0,11.795153617858887,58.602012634277344,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,9,-657.702880859375,1.4783073663711548,11.888769149780273,0.0,11.838787078857422,58.865989685058594,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,10,-422.14837646484375,0.7031183242797852,6.012404441833496,0.0,11.838916778564453,58.86677932739258,,,,,,,,,,,,
