algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_num_groups,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
budget_aware_primal_dual_unfolded,3,-217.88626098632812,16546.748046875,66186.9921875,0.0,6.220756530761719,24.883026123046875,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,4,-279421.625,16431.662109375,65726.6484375,0.0,6.801810264587402,27.20724105834961,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,5,-344274.5625,109862.3984375,439449.59375,0.0,12.797958374023438,51.19183349609375,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,6,-4480.0556640625,130778.5546875,523114.21875,0.0,13.197578430175781,52.790313720703125,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,7,-2784.947509765625,101699.8046875,406799.21875,0.0,21.245502471923828,84.98200988769531,,,,,,,,,,,,,
budget_aware_primal_dual_unfolded,8,-627296.125,63940.66015625,255762.640625,0.0,22.781423568725586,91.12569427490234,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,1,6.51975679397583,1147.7869873046875,4591.14794921875,1.3245476715439963e-08,1.1427867412567139,4.5711469650268555,8.0,0.9183333516120911,0.019999999552965164,1.0,0.00013829059025738388,-0.0029998421669006348,0.75,0.99993896484375,0.99993896484375,5.0,0.0,1.0,-0.0029998421669006348
rate_recovered_primal_dual_unfolded,2,-114831.4921875,18995.751953125,75983.0078125,0.0,4.082852363586426,16.331409454345703,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,3,-217.88626098632812,16546.748046875,66186.9921875,0.0,6.220756530761719,24.883026123046875,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,4,-279421.625,16431.662109375,65726.6484375,0.0,6.801810264587402,27.20724105834961,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,5,-344274.5625,109862.3984375,439449.59375,0.0,12.797958374023438,51.19183349609375,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,6,-4480.0556640625,130778.5546875,523114.21875,0.0,13.197578430175781,52.790313720703125,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,7,-2784.947509765625,101699.8046875,406799.21875,0.0,21.245502471923828,84.98200988769531,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,8,-627296.125,63940.66015625,255762.640625,0.0,22.781423568725586,91.12569427490234,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,9,-504505.96875,50407.12109375,201628.484375,0.0,24.21579933166504,96.86319732666016,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,10,-958293.4375,95782.328125,383129.3125,0.0,25.650175094604492,102.60070037841797,,,,,,,,,,,,,
rate_recovered_primal_dual_unfolded,11,-894119.4375,89361.8515625,357447.40625,0.0,27.084550857543945,108.33820343017578,,,,,,,,,,,,,
risk_neutral_pgd,1,12.606294631958008,256.83392333984375,661.146484375,2.6490953430879927e-08,,,,,,,,,,,,,,,
risk_neutral_pgd,2,14.279995918273926,127.03266906738281,256.1153869628906,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,3,14.473481178283691,92.36334991455078,233.1806640625,0.0,,,,,,,,,,,,,,,
risk_neutral_pgd,4,15.672653198242188,81.47731018066406,233.3932647705078,0.0,,,,,,,,,,,,,,,
wideband_pgd,1,-5159.072265625,110.00041198730469,440.00164794921875,0.0,,,,,,,,,,,,,,,
wideband_pgd,2,-127843.859375,2720.34716796875,10881.388671875,0.0,,,,,,,,,,,,,,,
wideband_pgd,3,-81588.03125,1736.1041259765625,6944.41650390625,0.0,,,,,,,,,,,,,,,
wideband_pgd,4,-92177.453125,1961.435302734375,7845.7412109375,0.0,,,,,,,,,,,,,,,
budgeted_primal_dual_pgd,1,-867.6809692382812,110.00041198730469,440.00164794921875,0.0,0.9199888706207275,1.9091143608093262,,,,,,,,,,,,,
budgeted_primal_dual_pgd,2,-26882.75,3361.181640625,13444.7265625,0.0,1.2399888038635254,3.3708410263061523,,,,,,,,,,,,,
budgeted_primal_dual_pgd,3,-19509.330078125,2437.9970703125,9751.98828125,0.0,1.5599888563156128,4.970840930938721,,,,,,,,,,,,,
budgeted_primal_dual_pgd,4,-20760.27734375,2593.201416015625,10372.8056640625,0.0,1.8799887895584106,6.570840835571289,,,,,,,,,,,,,
budgeted_primal_dual_pgd,5,-20541.951171875,2564.9208984375,10259.68359375,0.0,2.199988842010498,8.170841217041016,,,,,,,,,,,,,
