epoch,train_loss,train_utility,train_distill_loss,teacher_runtime_s_mean,train_soft_outage,train_tail_excess,outage_weight,tail_weight,distill_weight,val_loss,val_utility,val_soft_outage,val_tail_excess
1,1971793356.8826122,-497932.80110764503,2464119220.619272,2.344328251143452,561049.2462040583,775022225039.7352,0.0,0.0,0.8,-10.660162925720215,10.660162925720215,0.0,0.0
2,50497514.998753786,-3554.9732735157013,63117450.01072184,1.9717182740181063,4016.926110267639,25442625.31934611,0.0,0.0,0.8,-10.496943712234497,10.496943712234497,0.0,0.0
3,1478560338471.4766,-449816.93963925046,1848199799780.944,2.3305776924826205,506848.8289299086,739279731973.1445,0.0,0.0,0.8,-7.421339750289917,7.421339750289917,0.0,0.0
4,86607469482466.03,-8924030.456627527,54776896.04375711,2.320588171482086,10055260.075909665,303125929420068.5,0.5714285714285714,0.2857142857142857,0.7357142857142858,-13.557013511657715,13.557013511657715,0.0,0.0
5,5787244.165475766,-1594.4364926020305,4427625.519490302,1.6047829616387996,1809.8309772312641,4918807.696073239,1.1428571428571428,0.5714285714285714,0.6714285714285715,-6.536996603012085,6.536996603012085,0.0,0.0
6,59.29991888999939,9.650344371795654,122.9536709189415,1.6100901450263336,0.0,0.0,1.7142857142857142,0.8571428571428571,0.6071428571428572,-8.890342712402344,8.890342712402344,0.0,0.0
7,408.48503816127777,8.667155901590982,778.8176171680292,1.9736484803336982,0.0,0.0,2.2857142857142856,1.1428571428571428,0.5428571428571429,-8.98397445678711,8.98397445678711,0.0,0.0
8,-13.95095924536387,8.798624992370605,0.10334114171564579,0.5125887084868737,0.0,0.0,2.857142857142857,1.4285714285714286,0.47857142857142854,-6.820312976837158,6.820312976837158,0.0,0.0
9,-11.894365231196085,7.612048337856929,0.12010065962870915,0.5128050944961918,0.0,0.0,3.4285714285714284,1.7142857142857142,0.4142857142857143,-7.031666994094849,7.031666994094849,0.0,0.0
10,-12.011927207310995,7.882695873578389,0.16154609496394792,0.510641273324533,0.0,0.0,4.0,2.0,0.35,-13.06252670288086,13.06252670288086,0.0,0.0
11,-14.380280335744223,9.179301063219706,0.18321720510721207,0.507538405538071,0.0,0.0,4.0,2.0,0.35,-14.054476261138916,14.054476261138916,0.0,0.0
12,-15.216657320658365,8.757770697275797,0.15724233289559683,0.5141324655075247,0.0,0.0,4.0,2.0,0.35,-11.495055198669434,11.495055198669434,0.0,0.0
13,-14.831921021143595,8.878409226735434,0.14880348617831865,0.5140660268370993,0.0,0.0,4.0,2.0,0.35,-9.117243528366089,9.117243528366089,0.0,0.0
14,-13.769706964492798,7.9914644956588745,0.12198841944336891,0.5129772921597274,0.0,0.0,4.0,2.0,0.35,-6.774411916732788,6.774411916732788,0.0,0.0
15,-16.209633191426594,9.824145098527273,0.19998679434259733,0.512095213343855,0.0,0.0,4.0,2.0,0.35,-9.450332641601562,9.450332641601562,0.0,0.0
16,-15.463678042093912,9.429370085398356,0.12686260168751082,0.510692747173986,0.0,0.0,4.0,2.0,0.35,-10.848873615264893,10.848873615264893,0.0,0.0
17,-14.493274132410685,8.76502533753713,0.17526382332046828,0.5100140967988409,0.0,0.0,4.0,2.0,0.35,-10.305084228515625,10.305084228515625,0.0,0.0
18,-13.484580159187317,8.388931016127268,0.1040461187561353,0.5106937446786711,0.0,0.0,4.0,2.0,0.35,-12.589264392852783,12.589264392852783,0.0,0.0
19,-12.659867525100708,8.091448426246643,0.1413961946964264,0.5115253796878582,0.0,0.0,4.0,2.0,0.35,-11.368944644927979,11.368944644927979,0.0,0.0
20,-15.088841358820597,10.159294883410135,0.13083695247769356,0.5106390180105033,0.0,0.0,4.0,2.0,0.35,-12.753921508789062,12.753921508789062,0.0,0.0
21,-15.686376253763834,10.181825915972391,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-11.335726499557495,11.335726499557495,0.0,0.0
22,-14.744858344395956,9.783014098803202,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-11.652926921844482,11.652926921844482,0.0,0.0
23,-14.119005680084229,10.027570446332296,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-11.41197395324707,11.41197395324707,0.0,0.0
24,-13.829611698786417,9.41903038819631,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-10.172001361846924,10.172001361846924,0.0,0.0
25,-13.185297767321268,9.142269929250082,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-12.151772022247314,12.151772022247314,0.0,0.0
26,-14.033735871315002,9.721700549125671,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-9.702322959899902,9.702322959899902,0.0,0.0
27,-14.255991776784262,9.21066403388977,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-7.1908369064331055,7.1908369064331055,0.0,0.0
28,-15.058956623077393,9.752632300059,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-9.264504194259644,9.264504194259644,0.0,0.0
29,-14.35426632563273,9.974494020144144,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-8.532726526260376,8.532726526260376,0.0,0.0
30,-14.678765614827475,10.19582482179006,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-14.279681205749512,14.279681205749512,0.0,0.0
31,-11.419859329859415,7.578702489535014,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-11.551627159118652,11.551627159118652,0.0,0.0
32,-11.850072622299194,7.699586073557536,0.0,0.0,0.0,0.0,4.0,2.0,0.35,-9.427402973175049,9.427402973175049,0.0,0.0
