algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
static_notch_mf,fs_in_target_db,-10.0,13.988666534423828,13.988666534423828,13.988666534423828,13.988666534423828,13.988666534423828,1.0,41.078163146972656,10.269540786743164,41.078163146972656,0.0,0.9166666865348816,10.972402058541775,57.07517623901367,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-10.0,19.059486389160156,19.059486389160156,19.059486389160156,19.059486389160156,19.059486389160156,1.0,329956.65625,82493.15625,329956.65625,0.0,1.0,147.98514219000936,57.07517623901367,0.08333331346511841
wideband_pgd,fs_in_target_db,-10.0,12.641064643859863,12.641064643859863,12.641064643859863,12.641064643859863,12.641064643859863,1.0,913.6237182617188,228.4059295654297,913.6237182617188,0.0,0.9166666865348816,145.36542212590575,57.07517623901367,0.08333331346511841
scenario_adaptive_unfolded,fs_in_target_db,-10.0,5.721621990203857,5.721621990203857,5.721621990203857,5.721621990203857,5.721621990203857,1.0,2314.04541015625,578.5113525390625,2314.04541015625,0.0,0.9166666865348816,169.27980165928602,57.07517623901367,0.08333331346511841
static_notch_mf,fs_in_target_db,-10.0,7.329705715179443,7.329705715179443,7.329705715179443,7.329705715179443,7.329705715179443,0.0,-0.9540048837661743,0.0,0.0,3.973643103449831e-08,0.8333333134651184,10.723864194005728,62.75031280517578,0.1666666865348816
risk_neutral_pgd,fs_in_target_db,-10.0,11.400948524475098,11.400948524475098,11.400948524475098,11.400948524475098,11.400948524475098,1.0,656.243408203125,164.06085205078125,656.243408203125,0.0,1.0,146.35917590931058,62.75031280517578,0.1666666865348816
wideband_pgd,fs_in_target_db,-10.0,11.003352165222168,11.003352165222168,11.003352165222168,11.003352165222168,11.003352165222168,0.0,-0.9786890149116516,0.0,0.0,0.0,0.8333333134651184,147.39042101427913,62.75031280517578,0.1666666865348816
scenario_adaptive_unfolded,fs_in_target_db,-10.0,4.938059329986572,4.938059329986572,4.938059329986572,4.938059329986572,4.938059329986572,0.0,-0.951249361038208,0.0,0.0,0.0,0.8333333134651184,167.3246850259602,62.75031280517578,0.1666666865348816
