algorithm,layer,utility,mean_violation,cvar,power_violation
risk_neutral_pgd,1,14.90971565246582,74235.453125,296904.25,2.6490953430879927e-08
risk_neutral_pgd,2,24.40636444091797,72173.6953125,288667.1875,0.0
risk_neutral_pgd,3,19.27767562866211,57163.00390625,228612.6875,0.0
risk_neutral_pgd,4,21.009000778198242,109358.6484375,437411.8125,0.0
wideband_pgd,1,-468.6798095703125,10.26954174041748,41.07816696166992,0.0
wideband_pgd,2,-15078.701171875,321.1731262207031,1284.6925048828125,0.0
wideband_pgd,3,-9851.94140625,210.01609802246094,840.0643920898438,0.0
wideband_pgd,4,-11024.9306640625,234.86251831054688,939.4500732421875,0.0
scenario_adaptive_unfolded,1,13.657244682312012,10.26954174041748,41.07816696166992,0.0
scenario_adaptive_unfolded,2,-93.0560073852539,2.916673183441162,11.666692733764648,0.0
scenario_adaptive_unfolded,3,14.101322174072266,2.901974678039551,11.607898712158203,0.0
scenario_adaptive_unfolded,4,-274.0270690917969,5.827939987182617,23.31175994873047,0.0
risk_neutral_pgd,1,8.807517051696777,821.7742309570312,3287.096923828125,1.3245476715439963e-08
risk_neutral_pgd,2,15.684128761291504,517.5982666015625,2070.39306640625,0.0
risk_neutral_pgd,3,14.1729097366333,246.5712127685547,986.2848510742188,0.0
risk_neutral_pgd,4,15.300555229187012,331.7485046386719,1326.9940185546875,0.0
wideband_pgd,1,7.329704761505127,0.0,0.0,3.973643103449831e-08
wideband_pgd,2,13.024859428405762,0.0,0.0,0.0
wideband_pgd,3,12.888636589050293,0.0,0.0,0.0
wideband_pgd,4,12.90223217010498,0.0,0.0,0.0
scenario_adaptive_unfolded,1,7.329704761505127,0.0,0.0,3.973643103449831e-08
scenario_adaptive_unfolded,2,7.3588690757751465,0.0,0.0,0.0
scenario_adaptive_unfolded,3,7.359138488769531,0.0,0.0,0.0
scenario_adaptive_unfolded,4,10.639288902282715,0.0,0.0,0.0
