algorithm,sweep_tag,sweep_value,sample_id,sum_rate_bps_per_hz,weighted_sum_rate,worst_fs_excess,mean_positive_fs_excess,fs_outage_any,power_violation,active_subband_fraction,runtime_ms
static_notch_mf,fs_in_target_db,-10.0,0,13.988666534423828,13.988666534423828,41.07816696166992,10.26954174041748,1.0,0.0,0.9166666865348816,8.591546211391687
risk_neutral_pgd,fs_in_target_db,-10.0,0,20.645788192749023,20.645788192749023,329338.28125,82338.921875,1.0,0.0,1.0,139.04025498777628
wideband_pgd,fs_in_target_db,-10.0,0,12.64106273651123,12.64106273651123,913.6238403320312,228.4059600830078,1.0,0.0,0.9166666865348816,135.76690014451742
scenario_adaptive_unfolded,fs_in_target_db,-10.0,0,5.801741123199463,5.801741123199463,2326.5302734375,581.632568359375,1.0,0.0,0.9166666865348816,160.21258290857077
static_notch_mf,fs_in_target_db,-10.0,0,7.329705715179443,7.329705715179443,-0.9540048837661743,0.0,0.0,3.973643103449831e-08,0.8333333134651184,8.811331819742918
risk_neutral_pgd,fs_in_target_db,-10.0,0,11.400958061218262,11.400958061218262,656.2449340820312,164.0612335205078,1.0,0.0,1.0,139.4426436163485
wideband_pgd,fs_in_target_db,-10.0,0,11.00336742401123,11.00336742401123,-0.9786890745162964,0.0,0.0,0.0,0.8333333134651184,135.38500014692545
scenario_adaptive_unfolded,fs_in_target_db,-10.0,0,5.115224361419678,5.115224361419678,-0.9442692399024963,0.0,0.0,0.0,0.8333333134651184,167.90751740336418
