algorithm,sweep_tag,sweep_value,sample_id,sum_rate_bps_per_hz,weighted_sum_rate,worst_fs_excess,mean_positive_fs_excess,fs_outage_any,power_violation,active_subband_fraction,runtime_ms
static_notch_mf,fs_in_target_db,-10.0,0,20.588258743286133,20.588258743286133,4773.35498046875,543.6427612304688,1.0,3.973643103449831e-08,0.9166666865348816,11.034243972972035
static_notch_mf,fs_in_target_db,-10.0,1,25.70172691345215,25.70172691345215,6872.87939453125,1036.3743896484375,1.0,2.2706531765948057e-08,0.9166666865348816,11.034243972972035
risk_neutral_pgd,fs_in_target_db,-10.0,0,49.616546630859375,49.616546630859375,7367.7802734375,1057.0626220703125,1.0,0.0,1.0,260.328256059438
risk_neutral_pgd,fs_in_target_db,-10.0,1,57.12722396850586,57.12722396850586,11911.2744140625,1740.6163330078125,1.0,0.0,1.0,260.328256059438
wideband_pgd,fs_in_target_db,-10.0,0,32.00724411010742,32.00724411010742,77213.203125,12644.1142578125,1.0,0.0,0.9166666865348816,257.93430604971945
wideband_pgd,fs_in_target_db,-10.0,1,34.88557815551758,34.88557815551758,115372.078125,24561.822265625,1.0,0.0,0.9166666865348816,257.93430604971945
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,0,49.74778366088867,49.74778366088867,102577.25,8704.2041015625,1.0,0.0,0.9166666865348816,266.98122289963067
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,1,55.438934326171875,55.438934326171875,174985.578125,15088.9169921875,1.0,0.0,0.9166666865348816,266.98122289963067
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,0,4.908371448516846,4.908371448516846,-0.003000319004058838,0.0,0.0,0.0,0.9166666865348816,325.89444192126393
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,1,6.232371807098389,6.232371807098389,-0.0029999613761901855,0.0,0.0,0.0,0.9166666865348816,325.89444192126393
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,0,11.634292602539062,11.634292602539062,-0.0015778541564941406,0.0,0.0,0.0,0.9166666865348816,386.1934025771916
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,1,12.663378715515137,12.663378715515137,-0.002496004104614258,0.0,0.0,0.0,0.9166666865348816,386.1934025771916
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,0,30.68654441833496,30.68654441833496,84435.7109375,7109.47509765625,1.0,0.0,0.9166666865348816,295.2283008489758
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,1,30.066301345825195,30.066301345825195,161986.390625,13912.8779296875,1.0,0.0,0.9166666865348816,295.2283008489758
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,0,11.477530479431152,11.477530479431152,-0.00199735164642334,0.0,0.0,0.0,0.9166666865348816,415.50783603452146
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,1,9.974446296691895,9.974446296691895,-0.0030000805854797363,0.0,0.0,0.0,0.9166666865348816,415.50783603452146
static_notch_mf,fs_in_target_db,-10.0,0,22.89740562438965,22.89740562438965,3886.361083984375,681.5735473632812,1.0,1.7029899268550253e-08,0.9166666865348816,10.974135482683778
static_notch_mf,fs_in_target_db,-10.0,1,20.283720016479492,20.283720016479492,22593.8046875,3064.650146484375,1.0,3.4059798537100505e-08,0.9583333134651184,10.974135482683778
risk_neutral_pgd,fs_in_target_db,-10.0,0,45.961151123046875,45.961151123046875,7477.419921875,1594.74072265625,1.0,0.0,1.0,256.5910150296986
risk_neutral_pgd,fs_in_target_db,-10.0,1,44.382598876953125,44.382598876953125,21617.99609375,4136.7109375,1.0,0.0,1.0,256.5910150296986
wideband_pgd,fs_in_target_db,-10.0,0,27.94255256652832,27.94255256652832,84500.1015625,16102.9296875,1.0,0.0,0.9166666865348816,260.34823851659894
wideband_pgd,fs_in_target_db,-10.0,1,8.190743446350098,8.190743446350098,574649.6875,74672.9609375,1.0,0.0,0.9583333134651184,260.34823851659894
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,0,52.49940490722656,52.49940490722656,2615.126708984375,553.1006469726562,1.0,0.0,0.9166666865348816,268.95565586164594
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,1,16.511524200439453,16.511524200439453,871431.125,102979.3203125,1.0,0.0,0.9583333134651184,268.95565586164594
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,0,23.837722778320312,23.837722778320312,-0.0029997825622558594,0.0,0.0,0.0,0.9166666865348816,329.44823196157813
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,1,0.1607181578874588,0.1607181578874588,-0.0030001401901245117,0.0,0.0,0.0,0.9583333134651184,329.44823196157813
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,0,24.185951232910156,24.185951232910156,-0.0023284554481506348,0.0,0.0,0.0,0.9166666865348816,391.1812249571085
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,1,6.5624566078186035,6.5624566078186035,-0.002042531967163086,0.0,0.0,0.0,0.9583333134651184,391.1812249571085
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,0,30.57569122314453,30.57569122314453,1049.248291015625,231.9427032470703,1.0,0.0,0.9166666865348816,294.1533816047013
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,1,12.739608764648438,12.739608764648438,682019.9375,79180.3203125,1.0,0.0,0.9583333134651184,294.1533816047013
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,0,20.652555465698242,20.652555465698242,-0.0030001401901245117,0.0,0.0,0.0,0.9166666865348816,414.82633468694985
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,1,5.823143482208252,5.823143482208252,-0.0016891956329345703,0.0,0.0,0.0,0.9583333134651184,414.82633468694985
static_notch_mf,fs_in_target_db,-10.0,0,24.95888328552246,24.95888328552246,80148.2421875,10320.453125,1.0,2.2706531765948057e-08,0.875,11.08493935316801
static_notch_mf,fs_in_target_db,-10.0,1,15.632899284362793,15.632899284362793,4149.0400390625,986.8717651367188,1.0,2.2706531765948057e-08,0.5833333134651184,11.08493935316801
risk_neutral_pgd,fs_in_target_db,-10.0,0,56.583683013916016,56.583683013916016,882415.625,76163.5703125,1.0,0.0,1.0,259.75935184396803
risk_neutral_pgd,fs_in_target_db,-10.0,1,52.25107955932617,52.25107955932617,6452.916015625,1660.94189453125,1.0,0.0,1.0,259.75935184396803
wideband_pgd,fs_in_target_db,-10.0,0,13.166369438171387,13.166369438171387,71818664.0,6150054.5,1.0,0.0,0.875,261.4116813056171
wideband_pgd,fs_in_target_db,-10.0,1,10.219779968261719,10.219779968261719,157555.71875,33419.8984375,1.0,0.0,0.5833333134651184,261.4116813056171
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,0,27.871179580688477,27.871179580688477,108987744.0,9183151.0,1.0,0.0,0.875,269.89232399500906
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,1,40.01619338989258,40.01619338989258,4059.2861328125,973.8953247070312,1.0,0.0,0.5833333134651184,269.89232399500906
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,0,0.07931722700595856,0.07931722700595856,-0.003000199794769287,0.0,0.0,0.0,0.875,331.37725363485515
