epoch,train_loss,train_utility,train_distill_loss,teacher_runtime_s_mean,train_soft_outage,train_tail_excess,outage_weight,tail_weight,distill_weight,val_loss,val_utility,val_soft_outage,val_tail_excess
1,197516384.6423584,-18023.31560058594,263331158.9,2.904114398639649,17599.311877441407,116121150.534375,0.0,0.0,0.75,-12.752050399780273,12.752050399780273,0.0,0.0
2,53738146.771557614,-11226.771118164062,71635892.8,2.896147902403027,11209.310278320312,34386509.0875,0.0,0.0,0.75,-10.867719173431396,10.867719173431396,0.0,0.0
3,59917436.43185425,-27933.22819213867,79852671.1,2.8991011789999903,30420.995635986328,495986004.26171875,0.0,0.0,0.75,-7.9153523445129395,7.9153523445129395,0.0,0.0
4,25482609.452111818,-10174.871444702148,33963246.2671875,2.8681075728498397,11538.985787963868,46326513.89570312,0.0,0.0,0.75,-11.018449306488037,11.018449306488037,0.0,0.0
5,122082033.51347657,-27339.52357788086,95829356.0875,2.8934044485911725,32079.273486328126,372776157.68671876,0.2857142857142857,0.14285714285714285,0.7178571428571429,-11.218210220336914,11.218210220336914,0.0,0.0
6,-19.84932689666748,12.899564456939697,0.42018006443977357,2.8883819315582513,0.0,0.0,0.5714285714285714,0.2857142857142857,0.6857142857142857,-14.48986005783081,14.48986005783081,0.0,0.0
7,-19.39385805130005,12.344375133514404,0.3568358212709427,2.885677221789956,0.0,0.0,0.8571428571428571,0.42857142857142855,0.6535714285714286,-13.806822299957275,13.806822299957275,0.0,0.0
8,-20.798115539550782,13.238997077941894,0.14882443249225616,0.8009329586289823,0.0,0.0,1.1428571428571428,0.5714285714285714,0.6214285714285714,-15.000772714614868,15.000772714614868,0.0,0.0
9,-19.71507215499878,12.830743885040283,0.11880769729614257,0.7950733696110547,0.0,0.0,1.4285714285714286,0.7142857142857143,0.5892857142857143,-12.290188789367676,12.290188789367676,0.0,0.0
10,-21.567530250549318,14.31385259628296,0.178524187207222,0.7908909829333425,0.0,0.0,1.7142857142857142,0.8571428571428571,0.5571428571428572,-12.278290748596191,12.278290748596191,0.0,0.0
11,-21.543047428131104,14.584505939483643,0.22174452543258666,0.7939160505309701,0.0,0.0,2.0,1.0,0.525,-17.61418628692627,17.61418628692627,0.0,0.0
12,-19.10477657318115,12.186324977874756,0.14238836467266083,0.79518414856866,0.0,0.0,2.2857142857142856,1.1428571428571428,0.4928571428571429,-13.227312564849854,13.227312564849854,0.0,0.0
13,-19.237557411193848,12.135859966278076,0.12478834688663483,0.7932291672565043,0.0,0.0,2.5714285714285716,1.2857142857142858,0.4607142857142857,-12.896859169006348,12.896859169006348,0.0,0.0
14,-19.125019454956053,12.036998605728149,0.18285179883241653,0.7911104066297412,0.0,0.0,2.857142857142857,1.4285714285714286,0.42857142857142855,-11.137292385101318,11.137292385101318,0.0,0.0
15,-19.859750175476073,13.378191947937012,0.13047124296426774,0.7895692158490419,0.0,0.0,3.142857142857143,1.5714285714285714,0.3964285714285714,-11.992988586425781,11.992988586425781,0.0,0.0
16,-20.31008949279785,13.396509647369385,0.1352093532681465,0.7882783369161188,0.0,0.0,3.4285714285714284,1.7142857142857142,0.3642857142857143,-15.563599109649658,15.563599109649658,0.0,0.0
17,-17.405552291870116,10.963519716262818,0.0,0.0,0.0,0.0,3.7142857142857144,1.8571428571428572,0.33214285714285713,-7.0108301639556885,7.0108301639556885,0.0,0.0
18,-19.382484436035156,12.536107206344605,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-10.523447036743164,10.523447036743164,0.0,0.0
19,-20.437479972839355,13.726889991760254,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-13.523103713989258,13.523103713989258,0.0,0.0
20,-18.95139627456665,12.314403629302978,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-10.825415134429932,10.825415134429932,0.0,0.0
21,-17.960136890411377,11.433478546142577,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-16.38415765762329,16.38415765762329,0.0,0.0
22,-20.72585325241089,14.043932676315308,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-16.79544496536255,16.79544496536255,0.0,0.0
23,-21.551780223846436,14.205453491210937,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-14.62958574295044,14.62958574295044,0.0,0.0
24,-21.54850540161133,14.06587553024292,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-16.302366256713867,16.302366256713867,0.0,0.0
25,-22.22398958206177,14.77004542350769,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-17.242499351501465,17.242499351501465,0.0,0.0
26,-23.91963348388672,15.17804594039917,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-16.64611577987671,16.64611577987671,0.0,0.0
27,-23.94337387084961,14.40373420715332,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-15.96221113204956,15.96221113204956,0.0,0.0
28,-27.84225215911865,17.05069284439087,0.0,0.0,0.0,0.0,4.0,2.0,0.3,-11.256702423095703,11.256702423095703,0.0,0.0
