algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
risk_neutral_pgd,1,8.151678085327148,25692.947265625,102557.7265625,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,2,20.75324058532715,17753.25390625,70889.3984375,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,3,12.575884819030762,5952.74609375,23751.369140625,0.0,,,,,,,,,,,,,,
risk_neutral_pgd,4,13.737988471984863,4829.55615234375,19273.16796875,0.0,,,,,,,,,,,,,,
wideband_pgd,1,-2737.767333984375,58.405670166015625,233.6226806640625,1.3245476715439963e-08,,,,,,,,,,,,,,
wideband_pgd,2,-46113.70703125,981.4463500976562,3925.785400390625,0.0,,,,,,,,,,,,,,
wideband_pgd,3,-30276.69140625,644.38525390625,2577.541015625,0.0,,,,,,,,,,,,,,
wideband_pgd,4,-33923.98828125,722.00390625,2888.015625,0.0,,,,,,,,,,,,,,
budgeted_primal_dual_pgd,1,-457.56622314453125,58.405670166015625,233.6226806640625,1.3245476715439963e-08,0.9199998378753662,2.076672077178955,,,,,,,,,,,,
budgeted_primal_dual_pgd,2,-9767.1728515625,1221.9849853515625,4887.93994140625,0.0,1.239999771118164,3.203327178955078,,,,,,,,,,,,
budgeted_primal_dual_pgd,3,-7216.1435546875,901.544921875,3606.1796875,0.0,1.5599998235702515,4.8033270835876465,,,,,,,,,,,,
budgeted_primal_dual_pgd,4,-7652.638671875,955.2382202148438,3820.952880859375,0.0,1.8799998760223389,6.403326988220215,,,,,,,,,,,,
budgeted_primal_dual_pgd,5,-7582.70263671875,945.503173828125,3782.0126953125,0.0,2.1999995708465576,8.003326416015625,,,,,,,,,,,,
budgeted_primal_dual_pgd,6,-7604.41455078125,947.1654663085938,3788.661865234375,0.0,2.5199997425079346,9.603326797485352,,,,,,,,,,,,
budgeted_primal_dual_pgd,7,-7608.81396484375,946.4535522460938,3785.814208984375,0.0,2.8399999141693115,11.203327178955078,,,,,,,,,,,,
budgeted_primal_dual_pgd,8,-7620.5556640625,946.9170532226562,3787.668212890625,0.0,3.200831890106201,12.803327560424805,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,1,-457.56622314453125,58.405670166015625,233.6226806640625,1.3245476715439963e-08,0.9199998378753662,2.076672077178955,8.0,0.8366666436195374,0.019999999552965164,1.0,0.01026561576873064,-0.004999876022338867,,,,,,
budgeted_primal_dual_pgd_repair,2,-9767.1728515625,1221.9849853515625,4887.93994140625,0.0,1.239999771118164,3.203327178955078,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,3,-7216.1435546875,901.544921875,3606.1796875,0.0,1.5599998235702515,4.8033270835876465,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,4,-7652.638671875,955.2382202148438,3820.952880859375,0.0,1.8799998760223389,6.403326988220215,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,5,-7582.70263671875,945.503173828125,3782.0126953125,0.0,2.1999995708465576,8.003326416015625,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,6,-7604.41455078125,947.1654663085938,3788.661865234375,0.0,2.5199997425079346,9.603326797485352,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,7,-7608.81396484375,946.4535522460938,3785.814208984375,0.0,2.8399999141693115,11.203327178955078,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,8,-7620.5556640625,946.9170532226562,3787.668212890625,0.0,3.200831890106201,12.803327560424805,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,9,-9521.029296875,947.009521484375,3788.0380859375,0.0,4.635207176208496,18.540828704833984,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,10,-12525.0205078125,1244.4200439453125,4977.68017578125,0.0,6.069581985473633,24.27832794189453,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,11,-12177.43359375,1206.72900390625,4826.916015625,0.0,7.5039567947387695,30.015827178955078,,,,,,,,,,,,
