algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
budget_aware_primal_dual_unfolded,fs_in_target_db,-14.0,25.175211588541668,25.175211588541668,25.175211191177368,20.185587827364603,30.16483471393585,1.0,180973.40454101562,22482.509694417316,264032.0936686198,0.0,0.909722218910853,296.38019391374354,81.43641789754231,0.09027777115503947
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,26.971385955810547,26.971385955810547,26.971386273701984,23.546113808949787,30.39665873845418,1.0,60028.133056640625,7039.626932779948,77556.33048502605,0.0,0.9201388955116272,297.19413991551846,82.64735666910808,0.0798611044883728
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,28.58404604593913,28.58404604593913,28.584046363830566,25.635018062591552,31.53307466506958,1.0,458870.89453125,39154.84187825521,462113.5149739583,0.0,0.9236111044883728,296.96422441823717,82.72821426391602,0.0763888955116272
budgeted_primal_dual_pgd,fs_in_target_db,-14.0,44.0149949391683,44.0149949391683,44.01499525705973,32.48003667195638,55.5499540011088,1.0,10853555.078125,1105657.8938802083,13242906.078125,0.0,0.909722218910853,270.61949934189516,81.43641789754231,0.09027777115503947
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,49.82098833719889,49.82098833719889,49.82098706563314,40.67051359812419,58.97146085103353,1.0,3744920.4140625,345969.9192708333,4141196.015625,0.0,0.9201388955116272,271.0149629371396,82.64735666910808,0.0798611044883728
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,51.21428680419922,51.21428680419922,51.214287439982094,43.001560274759925,59.42701460520427,1.0,27786307.729166668,2320500.10546875,27842479.875,0.0,0.9236111044883728,271.04325842810795,82.72821426391602,0.0763888955116272
budgeted_primal_dual_pgd_repair,fs_in_target_db,-14.0,2.9558305541674295,2.9558305541674295,2.955830534299215,0.7249756656276684,5.186685471733411,0.0,-0.002999971310297648,0.0,0.0,0.0,0.909722218910853,386.5635277373561,81.43641789754231,0.09027777115503947
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,4.897439181804657,4.897439181804657,4.897439181804657,0.8851646000519396,8.90971378684044,0.0,-0.0030001054207483926,0.0,0.0,0.0,0.9201388955116272,387.5004139263183,82.64735666910808,0.0798611044883728
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,2.2144118497769036,2.2144118497769036,2.214411829908689,0.789202896753947,3.6396206711729366,0.0,-0.0030000160137812295,0.0,0.0,0.0,0.9236111044883728,386.71633024932817,82.72821426391602,0.0763888955116272
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-14.0,9.900081793467203,9.900081793467203,9.900081753730774,7.956441859404246,11.843721807003021,0.0,-0.0010028332471847534,0.0,0.0,0.0,0.909722218910853,643.6388272462258,81.43641789754231,0.09027777115503947
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,12.523712476094564,12.523712476094564,12.523712595303854,8.751723722616832,16.295701309045153,0.0,-0.001004512111345927,0.0,0.0,0.0,0.9201388955116272,643.6836160719395,82.64735666910808,0.0798611044883728
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,13.670127868652344,13.670127868652344,13.670127868652344,12.5030548731486,14.837200784683228,0.0,-0.0010069658358891804,0.0,0.0,0.0,0.9236111044883728,642.372964755244,82.72821426391602,0.0763888955116272
rate_recovered_primal_dual_unfolded,fs_in_target_db,-14.0,11.641994078954061,11.641994078954061,11.641993999481201,8.957936660448711,14.326051378250122,0.0,-0.001007695992787679,0.0,0.0,0.0,0.909722218910853,672.6660053439749,81.43641789754231,0.09027777115503947
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,11.071443875630697,11.071443875630697,11.071443955103556,8.696085445086162,13.446802465120951,0.0,-0.0010073731342951457,0.0,0.0,0.0,0.9201388955116272,672.8711107377118,82.64735666910808,0.0798611044883728
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,12.409842173258463,12.409842173258463,12.409842411677042,11.632904950777688,13.186779872576396,0.0,-0.0010016957918802898,0.0,0.0,0.0,0.9236111044883728,674.7277789205933,82.72821426391602,0.0763888955116272
risk_neutral_pgd,fs_in_target_db,-14.0,55.73315747578939,55.73315747578939,55.73315747578939,52.89216512044271,58.57414983113606,1.0,374356.1796875,45757.84318033854,496079.7317708333,0.0,1.0,260.40854334132746,81.43641789754231,0.09027777115503947
risk_neutral_pgd,fs_in_target_db,-10.0,57.42120679219564,57.42120679219564,57.421207110087074,54.783132521311444,60.05928169886271,1.0,256940.3601888021,27327.14471435547,269254.9065755208,0.0,1.0,260.32675793006393,82.64735666910808,0.0798611044883728
risk_neutral_pgd,fs_in_target_db,-6.0,57.99759101867676,57.99759101867676,57.99759038289388,55.500491269429524,60.494689496358234,1.0,1162212.1365559895,99084.38634236653,1179206.2808430989,0.0,1.0,260.4588797451773,82.72821426391602,0.0763888955116272
