algorithm,sweep_tag,sweep_value,sample_id,sum_rate_bps_per_hz,weighted_sum_rate,worst_fs_excess,mean_positive_fs_excess,fs_outage_any,power_violation,active_subband_fraction,runtime_ms
static_notch_mf,fs_in_target_db,-6.0,0,19.349973678588867,19.349973678588867,1985.6170654296875,424.1156005859375,1.0,1.1353265882974029e-08,0.8333333134651184,10.945512040052563
static_notch_mf,fs_in_target_db,-6.0,1,20.896774291992188,20.896774291992188,106401.9140625,12546.5625,1.0,1.1353265882974029e-08,0.9583333134651184,10.945512040052563
risk_neutral_pgd,fs_in_target_db,-6.0,0,52.900943756103516,52.900943756103516,7501.232421875,1078.1893310546875,1.0,0.0,1.0,261.385457997676
risk_neutral_pgd,fs_in_target_db,-6.0,1,53.23064041137695,53.23064041137695,156253.578125,26100.939453125,1.0,0.0,1.0,261.385457997676
wideband_pgd,fs_in_target_db,-6.0,0,24.79692268371582,24.79692268371582,216292.953125,19788.40234375,1.0,0.0,0.8333333134651184,265.94378298614174
wideband_pgd,fs_in_target_db,-6.0,1,18.162199020385742,18.162199020385742,4948871.0,422284.21875,1.0,0.0,0.9583333134651184,265.94378298614174
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,0,51.97832107543945,51.97832107543945,311551.375,26097.208984375,1.0,0.0,0.8333333134651184,271.4470765204169
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,1,36.01048278808594,36.01048278808594,7510000.0,625984.0625,1.0,0.0,0.9583333134651184,271.4470765204169
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,0,1.664533019065857,1.664533019065857,-0.003000020980834961,0.0,0.0,0.0,0.8333333134651184,388.1391964969225
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,1,1.0717278718948364,1.0717278718948364,-0.0030001401901245117,0.0,0.0,0.0,0.9583333134651184,388.1391964969225
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,0,12.862725257873535,12.862725257873535,-0.0010298490524291992,0.0,0.0,0.0,0.8333333134651184,645.6194700440392
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,1,9.917284965515137,9.917284965515137,-0.001000046730041504,0.0,0.0,0.0,0.9583333134651184,645.6194700440392
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,0,22.53122901916504,22.53122901916504,3111.604736328125,306.7720031738281,1.0,0.0,0.8333333134651184,296.28008796134964
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,1,20.827842712402344,20.827842712402344,70599.3203125,12076.0234375,1.0,0.0,0.9583333134651184,296.28008796134964
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,0,9.861821174621582,9.861821174621582,-0.0010036826133728027,0.0,0.0,0.0,0.8333333134651184,675.7680734735914
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,1,9.366023063659668,9.366023063659668,-0.001002967357635498,0.0,0.0,0.0,0.9583333134651184,675.7680734735914
static_notch_mf,fs_in_target_db,-6.0,0,28.75758171081543,28.75758171081543,3090.968505859375,510.6022644042969,1.0,3.973643103449831e-08,0.9583333134651184,10.840935981832445
static_notch_mf,fs_in_target_db,-6.0,1,26.81269645690918,26.81269645690918,6603.8837890625,1648.9163818359375,1.0,5.676632941487014e-09,0.9166666865348816,10.840935981832445
risk_neutral_pgd,fs_in_target_db,-6.0,0,67.13655090332031,67.13655090332031,7803.72607421875,1188.1998291015625,1.0,0.0,1.0,260.14247245620936
risk_neutral_pgd,fs_in_target_db,-6.0,1,57.4121208190918,57.4121208190918,5577.38525390625,1404.4244384765625,1.0,0.0,1.0,260.14247245620936
wideband_pgd,fs_in_target_db,-6.0,0,16.7164363861084,16.7164363861084,174190.5625,25063.0390625,1.0,0.0,0.9583333134651184,263.0216079996899
wideband_pgd,fs_in_target_db,-6.0,1,10.502504348754883,10.502504348754883,653177.4375,75329.859375,1.0,0.0,0.9166666865348816,263.0216079996899
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,0,84.08636474609375,84.08636474609375,4453.9140625,646.4251708984375,1.0,0.0,0.9583333134651184,271.44283353118226
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,1,32.08604431152344,32.08604431152344,991214.0,102948.96875,1.0,0.0,0.9166666865348816,271.44283353118226
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,0,2.9730937480926514,2.9730937480926514,-0.0029999613761901855,0.0,0.0,0.0,0.9583333134651184,386.7408710066229
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,1,0.6965257525444031,0.6965257525444031,-0.0030000805854797363,0.0,0.0,0.0,0.9166666865348816,386.7408710066229
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,0,15.8323974609375,15.8323974609375,-0.001000821590423584,0.0,0.0,0.0,0.9583333134651184,642.3656945116818
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,1,5.880507946014404,5.880507946014404,-0.0010037422180175781,0.0,0.0,0.0,0.9166666865348816,642.3656945116818
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,0,45.49229431152344,45.49229431152344,2432.020263671875,350.4487609863281,1.0,0.0,0.9583333134651184,297.9814250138588
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,1,21.121400833129883,21.121400833129883,27628.3984375,2898.9404296875,1.0,0.0,0.9166666865348816,297.9814250138588
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,0,13.806591987609863,13.806591987609863,-0.0010097026824951172,0.0,0.0,0.0,0.9583333134651184,671.6212879982777
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,1,6.528984069824219,6.528984069824219,-0.0009999275207519531,0.0,0.0,0.0,0.9166666865348816,671.6212879982777
static_notch_mf,fs_in_target_db,-6.0,0,28.235563278198242,28.235563278198242,6661.80517578125,945.6001586914062,1.0,2.838316426334586e-08,0.9166666865348816,10.998901503626257
static_notch_mf,fs_in_target_db,-6.0,1,22.594833374023438,22.594833374023438,73922.515625,8403.796875,1.0,2.2706531765948057e-08,0.9583333134651184,10.998901503626257
risk_neutral_pgd,fs_in_target_db,-6.0,0,54.80992126464844,54.80992126464844,68992.7109375,6554.736328125,1.0,0.0,1.0,261.28734898520634
risk_neutral_pgd,fs_in_target_db,-6.0,1,58.76298141479492,58.76298141479492,53133.4765625,7228.013671875,1.0,0.0,1.0,261.28734898520634
wideband_pgd,fs_in_target_db,-6.0,0,18.5255184173584,18.5255184173584,280744.59375,35714.01953125,1.0,0.0,0.9166666865348816,262.4736375291832
wideband_pgd,fs_in_target_db,-6.0,1,17.449127197265625,17.449127197265625,1801324.625,169062.828125,1.0,0.0,0.9583333134651184,262.4736375291832
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,0,33.03111267089844,33.03111267089844,425706.03125,35674.9296875,1.0,0.0,0.9166666865348816,270.2664899989031
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,1,45.125,45.125,2733584.25,228015.984375,1.0,0.0,0.9583333134651184,270.2664899989031
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,0,0.6519235968589783,0.6519235968589783,-0.0030001401901245117,0.0,0.0,0.0,0.9166666865348816,386.1251500202343
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,1,0.8530738949775696,0.8530738949775696,-0.0030001401901245117,0.0,0.0,0.0,0.9583333134651184,386.1251500202343
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,0,11.727766990661621,11.727766990661621,-0.0010008811950683594,0.0,0.0,0.0,0.9166666865348816,642.1642999630421
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,1,11.716801643371582,11.716801643371582,-0.0009999275207519531,0.0,0.0,0.0,0.9583333134651184,642.1642999630421
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,0,31.966054916381836,31.966054916381836,48056.7578125,4275.1591796875,1.0,0.0,0.9166666865348816,297.02980403089896
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,1,26.18638038635254,26.18638038635254,19113.130859375,2261.181396484375,1.0,0.0,0.9583333134651184,297.02980403089896
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,0,11.689190864562988,11.689190864562988,-0.0009999871253967285,0.0,0.0,0.0,0.9166666865348816,675.2505484619178
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,1,11.331954956054688,11.331954956054688,-0.0010001659393310547,0.0,0.0,0.0,0.9583333134651184,675.2505484619178
static_notch_mf,fs_in_target_db,-6.0,0,29.531461715698242,29.531461715698242,3186638.75,269407.5,1.0,3.4059798537100505e-08,0.9583333134651184,10.961321997456253
static_notch_mf,fs_in_target_db,-6.0,1,25.71320343017578,25.71320343017578,5349.94482421875,750.5128784179688,1.0,1.7029899268550253e-08,0.9166666865348816,10.961321997456253
risk_neutral_pgd,fs_in_target_db,-6.0,0,51.26470947265625,51.26470947265625,13562814.0,1133028.125,1.0,0.0,1.0,260.0823905086145
risk_neutral_pgd,fs_in_target_db,-6.0,1,52.09416580200195,52.09416580200195,4519.72021484375,878.73193359375,1.0,0.0,1.0,260.0823905086145
wideband_pgd,fs_in_target_db,-6.0,0,14.151307106018066,14.151307106018066,209618928.0,17474592.0,1.0,0.0,0.9583333134651184,262.6214334741235
wideband_pgd,fs_in_target_db,-6.0,1,11.542363166809082,11.542363166809082,166666.421875,32695.271484375,1.0,0.0,0.9166666865348816,262.6214334741235
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,0,49.56777572631836,49.56777572631836,318068800.0,26510528.0,1.0,0.0,0.9583333134651184,270.53113403962925
budgeted_primal_dual_pgd,fs_in_target_db,-6.0,1,67.36286163330078,67.36286163330078,5198.0703125,703.7470703125,1.0,0.0,0.9166666865348816,270.53113403962925
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,0,0.031335219740867615,0.031335219740867615,-0.0029999613761901855,0.0,0.0,0.0,0.9583333134651184,386.1815099953674
budgeted_primal_dual_pgd_repair,fs_in_target_db,-6.0,1,0.9327614903450012,0.9327614903450012,-0.0029998421669006348,0.0,0.0,0.0,0.9166666865348816,386.1815099953674
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,0,11.898163795471191,11.898163795471191,-0.0009999871253967285,0.0,0.0,0.0,0.9583333134651184,640.6823790166527
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-6.0,1,9.962603569030762,9.962603569030762,-0.0010005831718444824,0.0,0.0,0.0,0.9166666865348816,640.6823790166527
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,0,27.430313110351562,27.430313110351562,5177072.0,431675.625,1.0,0.0,0.9583333134651184,296.47421051049605
budget_aware_primal_dual_unfolded,fs_in_target_db,-6.0,1,30.609947204589844,30.609947204589844,31744.7890625,4635.68701171875,1.0,0.0,0.9166666865348816,296.47421051049605
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,0,10.312919616699219,10.312919616699219,-0.0009999275207519531,0.0,0.0,0.0,0.9583333134651184,674.5928585296497
rate_recovered_primal_dual_unfolded,fs_in_target_db,-6.0,1,9.979267120361328,9.979267120361328,-0.0009999275207519531,0.0,0.0,0.0,0.9166666865348816,674.5928585296497
static_notch_mf,fs_in_target_db,-6.0,0,27.545623779296875,27.545623779296875,6097.8779296875,1090.8804931640625,1.0,3.973643103449831e-08,0.9583333134651184,10.983382991980761
static_notch_mf,fs_in_target_db,-6.0,1,29.369291305541992,29.369291305541992,71561.3671875,7718.13037109375,1.0,4.5413063531896114e-08,0.9583333134651184,10.983382991980761
risk_neutral_pgd,fs_in_target_db,-6.0,0,70.71123504638672,70.71123504638672,6840.634765625,1261.0860595703125,1.0,0.0,1.0,260.36858098814264
risk_neutral_pgd,fs_in_target_db,-6.0,1,65.44000244140625,65.44000244140625,63431.04296875,8333.9189453125,1.0,0.0,1.0,260.36858098814264
wideband_pgd,fs_in_target_db,-6.0,0,19.468271255493164,19.468271255493164,168841.0625,25544.087890625,1.0,0.0,0.9583333134651184,261.624570004642
