algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean
risk_neutral_pgd,1,14.042728424072266,3051.709228515625,11642.2158203125,2.6490953430879927e-08,,,,,,,,
risk_neutral_pgd,2,19.9528865814209,4404.4638671875,17306.390625,0.0,,,,,,,,
risk_neutral_pgd,3,17.636220932006836,2008.8114013671875,7877.1533203125,0.0,,,,,,,,
risk_neutral_pgd,4,15.040946960449219,2581.4697265625,10016.62109375,0.0,,,,,,,,
wideband_pgd,1,-7864.34375,169.03921508789062,667.4249267578125,3.973643103449831e-08,,,,,,,,
wideband_pgd,2,-346570.625,7374.1474609375,29496.58984375,0.0,,,,,,,,
wideband_pgd,3,-214188.484375,4557.4580078125,18229.83203125,0.0,,,,,,,,
wideband_pgd,4,-244304.46875,5198.19873046875,20792.794921875,0.0,,,,,,,,
budgeted_primal_dual_pgd,1,-1321.8809814453125,169.03921508789062,667.4249267578125,3.973643103449831e-08,1.3199996948242188,2.0675599575042725,,,,,,
budgeted_primal_dual_pgd,2,-72258.9609375,9033.70703125,36134.828125,0.0,1.586242437362671,3.2122511863708496,,,,,,
budgeted_primal_dual_pgd,3,-51421.43359375,6427.68359375,25710.734375,0.0,1.8278183937072754,4.812251091003418,,,,,,
budgeted_primal_dual_pgd,4,-54921.58984375,6863.91259765625,27455.650390625,0.0,2.068546772003174,6.412250995635986,,,,,,
budgeted_primal_dual_pgd,5,-54289.9609375,6784.00439453125,27136.017578125,0.0,2.3095648288726807,8.012250900268555,,,,,,
budgeted_primal_dual_pgd,6,-54416.06640625,6798.48779296875,27193.951171875,0.0,2.550935745239258,9.612251281738281,,,,,,
budgeted_primal_dual_pgd,7,-54403.91015625,6795.8603515625,27183.44140625,0.0,2.8399529457092285,11.212251663208008,,,,,,
budgeted_primal_dual_pgd,8,-54414.390625,6796.349609375,27185.3984375,0.0,3.2030630111694336,12.812252044677734,,,,,,
budgeted_primal_dual_pgd_repair,1,-1321.8809814453125,169.03921508789062,667.4249267578125,3.973643103449831e-08,1.3199996948242188,2.0675599575042725,8.0,0.9183333516120911,0.019999999552965164,1.0,0.0014308701502159238,-0.004999876022338867
budgeted_primal_dual_pgd_repair,2,-72258.9609375,9033.70703125,36134.828125,0.0,1.586242437362671,3.2122511863708496,,,,,,
budgeted_primal_dual_pgd_repair,3,-51421.43359375,6427.68359375,25710.734375,0.0,1.8278183937072754,4.812251091003418,,,,,,
budgeted_primal_dual_pgd_repair,4,-54921.58984375,6863.91259765625,27455.650390625,0.0,2.068546772003174,6.412250995635986,,,,,,
budgeted_primal_dual_pgd_repair,5,-54289.9609375,6784.00439453125,27136.017578125,0.0,2.3095648288726807,8.012250900268555,,,,,,
budgeted_primal_dual_pgd_repair,6,-54416.06640625,6798.48779296875,27193.951171875,0.0,2.550935745239258,9.612251281738281,,,,,,
budgeted_primal_dual_pgd_repair,7,-54403.91015625,6795.8603515625,27183.44140625,0.0,2.8399529457092285,11.212251663208008,,,,,,
budgeted_primal_dual_pgd_repair,8,-54414.390625,6796.349609375,27185.3984375,0.0,3.2030630111694336,12.812252044677734,,,,,,
budgeted_primal_dual_pgd_repair,9,-68013.9921875,6796.20751953125,27184.830078125,0.0,4.63743782043457,18.54975128173828,,,,,,
budgeted_primal_dual_pgd_repair,10,-89392.640625,8931.228515625,35724.9140625,0.0,6.071812629699707,24.287250518798828,,,,,,
budgeted_primal_dual_pgd_repair,11,-86706.9453125,8659.6474609375,34638.58984375,0.0,7.506187438964844,30.024749755859375,,,,,,
budget_aware_primal_dual_unfolded,1,7.566969394683838,169.03921508789062,667.4249267578125,3.973643103449831e-08,3.2341933250427246,6.468387603759766,,,,,,
budget_aware_primal_dual_unfolded,2,-95068.34375,8828.2216796875,35311.125,0.0,6.252218246459961,15.395589828491211,,,,,,
budget_aware_primal_dual_unfolded,3,-259.66510009765625,7334.76904296875,29337.533203125,0.0,11.181022644042969,30.460269927978516,,,,,,
budget_aware_primal_dual_unfolded,4,-108379.2265625,7291.0576171875,29162.703125,0.0,12.22178840637207,33.64968490600586,,,,,,
budget_aware_primal_dual_unfolded,5,-41807.765625,11516.572265625,46066.2890625,0.0,16.63401222229004,55.56922149658203,,,,,,
budget_aware_primal_dual_unfolded,6,-471.11358642578125,13773.68359375,55094.734375,0.0,17.013031005859375,57.46104049682617,,,,,,
budget_aware_primal_dual_unfolded,7,-912.0779418945312,3690.43408203125,14761.736328125,0.0,24.835803985595703,89.46903991699219,,,,,,
budget_aware_primal_dual_unfolded,8,-12790.822265625,1134.7119140625,4538.84765625,0.0,26.401363372802734,97.19013214111328,,,,,,
feasibility_restored_primal_dual_unfolded,1,7.566969394683838,169.03921508789062,667.4249267578125,3.973643103449831e-08,3.2341933250427246,6.468387603759766,8.0,0.9183333516120911,0.019999999552965164,1.0,0.0014271397376433015,-0.005000054836273193
feasibility_restored_primal_dual_unfolded,2,-95068.34375,8828.2216796875,35311.125,0.0,6.252218246459961,15.395589828491211,,,,,,
feasibility_restored_primal_dual_unfolded,3,-259.66510009765625,7334.76904296875,29337.533203125,0.0,11.181022644042969,30.460269927978516,,,,,,
feasibility_restored_primal_dual_unfolded,4,-108379.2265625,7291.0576171875,29162.703125,0.0,12.22178840637207,33.64968490600586,,,,,,
feasibility_restored_primal_dual_unfolded,5,-41807.765625,11516.572265625,46066.2890625,0.0,16.63401222229004,55.56922149658203,,,,,,
feasibility_restored_primal_dual_unfolded,6,-471.11358642578125,13773.68359375,55094.734375,0.0,17.013031005859375,57.46104049682617,,,,,,
feasibility_restored_primal_dual_unfolded,7,-912.0779418945312,3690.43408203125,14761.736328125,0.0,24.835803985595703,89.46903991699219,,,,,,
feasibility_restored_primal_dual_unfolded,8,-12790.822265625,1134.7119140625,4538.84765625,0.0,26.401363372802734,97.19013214111328,,,,,,
