avg_sinr_db,avg_user_rate_bps_per_hz,converged,max_bs_power_violation_watt,max_bs_power_watt,max_fs_interference_watt,max_fs_violation_watt,num_iter,sum_rate_bps_per_hz,sweep_variable,sweep_value,snr_db,bs_total_tx_power_dbm,fs_in_target_db
-18.917048454284668,3.9577457904815674,0.0,0.0,79.43269920349121,2.240528888721588e-11,2.2335165184364514e-11,20.0,166.22532272338867,fs_in_target_db,-6.0,0.0,49.0,-6.0
-14.873915672302246,4.263043165206909,0.0,0.0,60.980324149131775,1.729428427722779e-11,1.7256516528230126e-11,20.0,179.04781341552734,fs_in_target_db,-10.0,0.0,49.0,-10.0
-17.07826590538025,4.128472447395325,0.0,0.0,43.73457360267639,1.564592514791477e-11,1.563404727943432e-11,20.0,173.3958511352539,fs_in_target_db,-14.0,0.0,49.0,-14.0
