algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max
risk_neutral_pgd,1,6.193231582641602,2157.015625,6344.36767578125,2.6490953430879927e-08,,
risk_neutral_pgd,2,15.372559547424316,971.5862426757812,2851.82080078125,0.0,,
risk_neutral_pgd,3,13.228736877441406,2215.314453125,5864.287109375,0.0,,
risk_neutral_pgd,4,14.383247375488281,1349.863525390625,4289.626953125,0.0,,
wideband_pgd,1,-17984.970703125,384.3031005859375,1528.2205810546875,0.0,,
wideband_pgd,2,-1898785.5,40446.37890625,161512.3125,0.0,,
wideband_pgd,3,-1136159.375,24203.333984375,96639.71875,0.0,,
wideband_pgd,4,-1308529.25,27874.005859375,111303.09375,0.0,,
budgeted_primal_dual_pgd,1,-1522.7164306640625,384.3031005859375,1528.2205810546875,0.0,0.7849913835525513,1.1667444705963135
budgeted_primal_dual_pgd,2,-185927.65625,46486.05859375,185931.34375,0.0,1.169991374015808,2.0467443466186523
budgeted_primal_dual_pgd,3,-124274.734375,31070.673828125,124272.3515625,0.0,1.554991364479065,2.9267444610595703
budgeted_primal_dual_pgd,4,-135623.71875,33905.7421875,135613.0,0.0,1.9399913549423218,3.8067445755004883
budgeted_primal_dual_pgd,5,-133322.796875,33328.21484375,133305.234375,0.0,2.324991464614868,4.686744689941406
budgeted_primal_dual_pgd,6,-133789.21875,33443.25390625,133765.203125,0.0,2.7118139266967773,5.566744804382324
budget_aware_primal_dual_unfolded,1,-15002.6103515625,384.3031005859375,1528.2205810546875,0.0,0.6192187070846558,0.9814032912254333
budget_aware_primal_dual_unfolded,2,0.656037449836731,63014.07421875,252030.625,0.0,27.841346740722656,55.78166198730469
budget_aware_primal_dual_unfolded,3,-438.7253723144531,63009.85546875,252013.75,0.0,27.872238159179688,55.84344482421875
budget_aware_primal_dual_unfolded,4,-8736.8349609375,133.00755310058594,525.713134765625,0.0,41.87800598144531,83.85498046875
budget_aware_primal_dual_unfolded,5,-3164.604248046875,133.00555419921875,525.7051391601562,0.0,41.87803649902344,83.85504150390625
budget_aware_primal_dual_unfolded,6,-759.885498046875,132.98318481445312,525.61572265625,0.0,49.03659439086914,98.17215728759766
risk_neutral_pgd,1,7.736476421356201,1768.1934814453125,6745.35498046875,0.0,,
risk_neutral_pgd,2,15.46812915802002,1570.5084228515625,5742.97265625,0.0,,
risk_neutral_pgd,3,11.0335054397583,452.9505310058594,1543.0155029296875,0.0,,
risk_neutral_pgd,4,10.768864631652832,729.815185546875,2663.2080078125,0.0,,
wideband_pgd,1,-4071.109130859375,89.35038757324219,342.2238464355469,2.6490953430879927e-08,,
wideband_pgd,2,-860095.1875,18377.265625,73055.7578125,0.0,,
wideband_pgd,3,-506077.4375,10819.19140625,42974.9296875,0.0,,
wideband_pgd,4,-585805.25,12520.0185546875,49751.30078125,0.0,,
budgeted_primal_dual_pgd,1,-335.6325988769531,89.35038757324219,342.2238464355469,2.6490953430879927e-08,0.7849998474121094,1.266355037689209
budgeted_primal_dual_pgd,2,-83822.6875,20960.115234375,83827.734375,0.0,1.1699999570846558,2.146355152130127
budgeted_primal_dual_pgd,3,-55367.2578125,13843.9580078125,55363.984375,0.0,1.554999828338623,3.026355266571045
budgeted_primal_dual_pgd,4,-60597.51171875,15148.9033203125,60586.05859375,0.0,1.9399999380111694,3.906355381011963
budgeted_primal_dual_pgd,5,-59541.171875,14883.0322265625,59522.91015625,0.0,2.3249998092651367,4.786355495452881
budgeted_primal_dual_pgd,6,-59761.9453125,14935.4501953125,59734.90234375,0.0,2.7373104095458984,5.666355609893799
budget_aware_primal_dual_unfolded,1,-3324.47509765625,89.35038757324219,342.2238464355469,2.6490953430879927e-08,0.618990421295166,1.0490152835845947
budget_aware_primal_dual_unfolded,2,0.03596751391887665,28201.859375,112800.625,0.0,27.57593536376953,55.28472900390625
budget_aware_primal_dual_unfolded,3,-434.6225280761719,28199.849609375,112792.5859375,0.0,27.607589721679688,55.34803771972656
budget_aware_primal_dual_unfolded,4,-11561.8583984375,180.6609649658203,721.527099609375,0.0,36.46010208129883,83.02971649169922
budget_aware_primal_dual_unfolded,5,-3798.8798828125,180.65907287597656,721.5195922851562,0.0,36.460121154785156,83.02978515625
budget_aware_primal_dual_unfolded,6,-530.2467041015625,180.63861083984375,721.4380493164062,0.0,40.99098205566406,97.19866180419922
