group_size,num_groups,nmse,adjacent_freq_correlation,coherence_bw_proxy_hz
1.0,12.0,0.0,0.7362552285194397,63205044.43148245
2.0,6.0,0.31975609064102173,0.7362552285194397,63205044.43148245
3.0,4.0,0.6395587921142578,0.7362552285194397,63205044.43148245
4.0,3.0,0.6920056939125061,0.7362552285194397,63205044.43148245
6.0,2.0,0.7989265322685242,0.7362552285194397,63205044.43148245
