algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max
risk_neutral_pgd,1,26.223257064819336,15385.1689453125,142586.140625,4.257474728319721e-08,,
risk_neutral_pgd,2,49.509944915771484,14392.19921875,131908.875,0.0,,
risk_neutral_pgd,3,50.093509674072266,13845.9912109375,123774.234375,0.0,,
risk_neutral_pgd,4,49.70954513549805,14869.7685546875,138230.90625,0.0,,
risk_neutral_pgd,5,52.150360107421875,15388.2373046875,135392.09375,0.0,,
risk_neutral_pgd,6,52.586212158203125,15392.0546875,140942.5625,0.0,,
risk_neutral_pgd,7,53.283660888671875,15742.3779296875,137808.59375,0.0,,
risk_neutral_pgd,8,55.10956954956055,12620.0380859375,110155.1328125,0.0,,
risk_neutral_pgd,9,56.71185302734375,15496.55078125,145248.453125,0.0,,
risk_neutral_pgd,10,54.732147216796875,14651.1689453125,132511.234375,0.0,,
wideband_pgd,1,-471726.625,5331.57080078125,48972.1796875,2.838316426334586e-08,,
wideband_pgd,2,-19951892.0,227717.375,2067019.5,0.0,,
wideband_pgd,3,-13602120.0,154589.578125,1410412.25,0.0,,
wideband_pgd,4,-15485142.0,177240.125,1603319.25,0.0,,
wideband_pgd,5,-15082612.0,173069.9375,1560821.875,0.0,,
wideband_pgd,6,-15198469.0,174670.734375,1572302.5,0.0,,
wideband_pgd,7,-15173315.0,174511.15625,1569457.5,0.0,,
wideband_pgd,8,-15180922.0,174681.359375,1570089.125,0.0,,
wideband_pgd,9,-15179610.0,174721.25,1569850.25,0.0,,
wideband_pgd,10,-15180255.0,174769.453125,1569840.5,0.0,,
budgeted_primal_dual_pgd,1,-73466.8984375,5331.57080078125,48972.1796875,2.838316426334586e-08,1.5841752290725708,7.545664310455322
budgeted_primal_dual_pgd,2,-3600932.5,200789.484375,2400583.0,0.0,2.57513165473938,9.045663833618164
budgeted_primal_dual_pgd,3,-2692018.0,150228.234375,1794602.0,0.0,3.563714027404785,10.545663833618164
budgeted_primal_dual_pgd,4,-2939036.0,163906.265625,1959264.75,0.0,4.420942306518555,12.045663833618164
budgeted_primal_dual_pgd,5,-2903780.0,162023.28125,1935703.0,0.0,5.4189133644104,13.545663833618164
budgeted_primal_dual_pgd,6,-2913434.0,162488.359375,1942099.5,0.0,6.4189133644104,15.045663833618164
budgeted_primal_dual_pgd,7,-2911955.75,162377.953125,1941088.0,0.0,7.355000019073486,16.545663833618164
budgeted_primal_dual_pgd,8,-2912319.25,162404.25,1941280.0,0.0,8.355000495910645,18.045663833618164
budget_aware_primal_dual_unfolded,1,-245.4664764404297,5331.57080078125,48972.1796875,2.838316426334586e-08,4.661029815673828,6.93009090423584
budget_aware_primal_dual_unfolded,2,-7370970.0,237228.203125,2845257.0,0.0,13.090189933776855,19.99095916748047
budget_aware_primal_dual_unfolded,3,-4519.30615234375,192512.359375,2308755.0,0.0,34.50496292114258,53.046669006347656
budget_aware_primal_dual_unfolded,4,-7223194.5,186664.828125,2238612.75,0.0,39.27235794067383,60.365577697753906
budget_aware_primal_dual_unfolded,5,-335181.46875,221203.875,2646550.5,0.0,61.32704544067383,94.2573013305664
budget_aware_primal_dual_unfolded,6,-3514.1259765625,3823.891845703125,40995.171875,0.0,62.84197998046875,96.67776489257812
budget_aware_primal_dual_unfolded,7,-3583.096435546875,104.14957427978516,606.1026611328125,0.0,94.20989227294922,147.03550720214844
budget_aware_primal_dual_unfolded,8,-5645.26171875,62.232967376708984,338.6031188964844,0.0,101.2085952758789,158.60433959960938
risk_neutral_pgd,1,27.087839126586914,15168.0087890625,173518.15625,1.419158213167293e-08,,
risk_neutral_pgd,2,53.00429153442383,14501.22265625,165531.125,0.0,,
risk_neutral_pgd,3,52.090023040771484,12154.1279296875,137989.265625,0.0,,
risk_neutral_pgd,4,53.75825119018555,10751.4462890625,122031.984375,0.0,,
risk_neutral_pgd,5,54.17522048950195,13187.6064453125,150494.921875,0.0,,
risk_neutral_pgd,6,56.02047348022461,12817.1455078125,145688.015625,0.0,,
risk_neutral_pgd,7,55.76292037963867,13673.64453125,155197.40625,0.0,,
risk_neutral_pgd,8,56.916595458984375,15435.3876953125,175012.796875,0.0,,
risk_neutral_pgd,9,57.52815628051758,12567.8017578125,140680.734375,0.0,,
risk_neutral_pgd,10,57.372493743896484,15769.6337890625,179907.1875,0.0,,
wideband_pgd,1,-370324.40625,3956.456298828125,38875.26171875,3.12214822884016e-08,,
wideband_pgd,2,-69770480.0,659118.0625,7485466.5,0.0,,
wideband_pgd,3,-41176496.0,392727.65625,4410700.5,0.0,,
wideband_pgd,4,-47704048.0,454041.71875,5111680.0,0.0,,
wideband_pgd,5,-46082356.0,438910.90625,4937338.5,0.0,,
wideband_pgd,6,-46522500.0,443067.09375,4984563.5,0.0,,
wideband_pgd,7,-46435700.0,442271.5,4975205.5,0.0,,
wideband_pgd,8,-46471544.0,442618.5,4979035.0,0.0,,
wideband_pgd,9,-46470932.0,442619.59375,4978956.5,0.0,,
wideband_pgd,10,-46475924.0,442671.03125,4979484.5,0.0,,
budgeted_primal_dual_pgd,1,-58321.359375,3956.456298828125,38875.26171875,3.12214822884016e-08,1.3663736581802368,7.830278396606445
budgeted_primal_dual_pgd,2,-12375821.0,688251.875,8250520.0,0.0,2.167343854904175,9.330278396606445
budgeted_primal_dual_pgd,3,-8177713.5,455049.0,5451750.5,0.0,2.9791195392608643,10.830278396606445
budgeted_primal_dual_pgd,4,-8948008.0,497916.625,5965248.0,0.0,3.8143959045410156,12.330278396606445
budgeted_primal_dual_pgd,5,-8791235.0,489124.71875,5860700.5,0.0,4.689395904541016,13.830278396606445
budgeted_primal_dual_pgd,6,-8822540.0,491023.84375,5881534.5,0.0,5.564395904541016,15.330278396606445
budgeted_primal_dual_pgd,7,-8816334.0,490698.28125,5877365.5,0.0,6.430023670196533,16.830278396606445
budgeted_primal_dual_pgd,8,-8817642.0,490727.90625,5878201.5,0.0,7.3080620765686035,18.330278396606445
budget_aware_primal_dual_unfolded,1,-192.5726318359375,3956.456298828125,38875.26171875,3.12214822884016e-08,3.673229217529297,6.778167247772217
budget_aware_primal_dual_unfolded,2,-33106664.0,1065438.875,12784264.0,0.0,9.475430488586426,19.502897262573242
budget_aware_primal_dual_unfolded,3,-17698.634765625,857525.0625,10288967.0,0.0,25.481069564819336,51.74293518066406
budget_aware_primal_dual_unfolded,4,-31946460.0,828518.75,9940922.0,0.0,29.02930450439453,58.87102508544922
budget_aware_primal_dual_unfolded,5,-1637626.375,1074182.125,12880077.0,0.0,47.10179138183594,91.89566802978516
budget_aware_primal_dual_unfolded,6,-2886.006591796875,7518.39013671875,87062.859375,0.0,48.4201774597168,94.26145935058594
budget_aware_primal_dual_unfolded,7,-2151.457275390625,102.48079681396484,1018.4254760742188,0.0,68.22245025634766,143.51058959960938
budget_aware_primal_dual_unfolded,8,-4457.5859375,57.85151290893555,466.85638427734375,0.0,74.15794372558594,154.82850646972656
risk_neutral_pgd,1,28.366363525390625,3514.03125,21245.046875,3.973643103449831e-08,,
risk_neutral_pgd,2,46.36906051635742,3117.264892578125,19098.119140625,0.0,,
risk_neutral_pgd,3,45.02750778198242,2951.5634765625,20527.841796875,0.0,,
