algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean,recovery_safe_fraction_mean,recovery_eta_mean,recovery_eta_min,recovery_num_groups,recovery_global_rescue_fraction,recovery_global_scale_mean,recovery_worst_excess_mean
budgeted_primal_dual_pgd_repair,2,-61606872.0,2056469.0,24642716.0,0.0,2.8688080310821533,6.306539535522461,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,3,-48514540.0,1619941.125,19405764.0,0.0,3.8898136615753174,8.056539535522461,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,4,-51685332.0,1725613.375,20674064.0,0.0,4.845151901245117,9.806539535522461,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,5,-51630392.0,1723982.125,20652072.0,0.0,5.7562079429626465,11.556539535522461,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,6,-51768936.0,1728496.125,20707464.0,0.0,6.724650859832764,13.306539535522461,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,7,-51786476.0,1728826.875,20714450.0,0.0,7.7471923828125,15.056539535522461,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,8,-51795064.0,1729083.875,20717866.0,0.0,8.732872009277344,16.80653953552246,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,9,-51797096.0,1729051.0,20718660.0,0.0,9.686386108398438,18.55653953552246,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,10,-51797764.0,1729401.5,20718898.0,0.0,10.688983917236328,20.30653953552246,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,11,-62157528.0,1729111.125,20718984.0,0.0,14.99237060546875,27.80653953552246,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,12,-77642192.0,2156773.0,25880508.0,0.0,18.577077865600586,35.306541442871094,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,13,-76011536.0,2112523.5,25336870.0,0.0,22.38323211669922,42.072242736816406,,,,,,,,,,,,,
budgeted_primal_dual_pgd_repair,14,-76137648.0,2163315.75,25378858.0,0.0,25.9801025390625,49.572242736816406,,,,,,,,,,,,,
